slug,name,page_path,mls_subdivisions,review,sales_total,sales_by_year,variants_added
woodhaven,Woodhaven,/woodhaven.php,woodhaven | woodhaven replat | woodhaven replat 3,,84,32/18/17/17,2
golden-hills,Golden Hills,/golden-hills.php,golden hills | golden hills ii | golden hills iv | golden hills replat i | golden hills v,,83,17/20/26/20,4
shadowbrook,Shadowbrook,/shadowbrook.php,shadowbrook | shadowbrook ii | shadowbrook replat | shadowbrook replat 2 | shadowbrook replat two,,82,35/21/11/15,4
kempten-creek,Kempten Creek,/kempten-creek.php,kempten creek | kempten creek lot 179 block 0 lot 179 | kempten creek replat 1,,81,0/5/37/39,2
florence,Florence,/florence.php,florence | florence add replat | florence addition | florence lot | florence lot 16 block 112 60 x 122,,81,22/30/16/13,4
eagle-ridge,Eagle Ridge,/eagle-ridge.php,eagle ridge | eagle ridge lot 325,,81,16/22/22/21,1
sagewood,Sagewood,/sagewood.php,sagewood | sagewood lot 350 block 0 irreg | sagewood lot 351 block 0 irreg | sagewood rep 1,,80,35/13/14/18,3
sunrise,Sunrise,/sunrise.php,sunrise | sunrise add | sunrise addition,,78,23/19/15/21,2
ashbury-hills,Ashbury Hills,/ashbury-hills.php,ashbury hills | ashbury hills replat one,,78,7/11/11/49,1
turnbridge,Turnbridge,/turnbridge.php,turnbridge | turnbridge addition | turnbridge rep one,,77,29/14/18/16,2
aspen-creek,Aspen Creek,/aspen-creek.php,aspen creek | aspen creek n,,77,31/18/13/15,1
mission-park,Mission Park,/mission-park.php,mission park,,76,18/19/20/19,0
parkview,Parkview,/parkview.php,parkview,,76,0/2/22/52,0
wycliffe,Wycliffe,/wycliffe.php,"wycliffe | wycliffe replat | wycliffe replat 129, block 0, dcn",,76,26/17/15/18,2
the-meadows,The Meadows,/the-meadows.php,the meadows | the meadows replat | the meadows replat ii | the meadows replat ix | the meadows replat v | the meadows replat vi | the meadows replat vii | the meadows replat viii,,76,19/19/21/17,7
west-bay-woods,West Bay Woods,/west-bay-woods.php,west bay woods | west bay woods 2 | west bay woods 2 rep 1 | west bay woods 2 rep 1* | west bay woods ii | west bay woods rep one,,75,26/18/15/16,5
trendwood,Trendwood,/trendwood.php,trendwood | trendwood 2,,75,14/22/15/24,1
cinnamon-creek,Cinnamon Creek,/cinnamon-creek.php,cinnamon creek,,74,24/20/9/21,0
mockingbird-hills,Mockingbird Hills,/mockingbird-hills.php,mockingbird hills | mockingbird hills lot 23 block 4 60 x 125,,73,21/20/13/19,1
candlewood,Candlewood,/candlewood.php,candlewood | candlewood ii | candlewood ii rep 2,,73,21/17/16/19,2
bluestem-meadows,BlueStem Meadows,/bluestem-meadows.php,bluestem meadows | bluestem meadows lot 96 block 0 lot 96 | bluestem meadows lot 97 block 0 lot 97,,73,8/27/24/14,2
prairie-pointe,Prairie Pointe,/prairie-pointe.php,prairie pointe | prairie pointe lot 256 block 0 irreg | prairie pointe lot 359 blk 0 irreg,,72,19/17/21/15,2
spring-ridge,Spring Ridge,/spring-ridge.php,spring ridge | spring ridge rep 1 | spring ridge rep i | spring ridge replat 3 | spring ridge replat one,,72,22/20/15/15,4
diamond-head,Diamond Head,/diamond-head.php,diamond head,,72,15/13/17/27,0
carriage-hill,Carriage Hill,/carriage-hill.php,carriage hill,,72,25/18/14/15,0
the-ridges,The Ridges,/the-ridges.php,the ridges | the ridges rep ii,,71,18/15/19/19,1
pacific-heights,Pacific Heights,/pacific-heights.php,pacific heights | pacific heights replat | pacific heights replat iii | pacific heights replat iv,,71,23/14/11/23,3
